item_id,itemid_company,Serial,Property,item_name,quantity,category,project,specificlocation,location,image,par,condition
59,59,,,Coffee Maker - American Heritage,1,Appliance,,Conference Room,CTI,,,DEFECTIVE
60,60,,,Fujidenzo Two Door Personal Refrigerator,1,Appliance,DOST PCIEERD - TBI 4.0 Year 2  ,Conference Room,CTI,,,WORKING
61,61,,,Hot and Cold Water dispenser,1,Appliance,,Co-Working Space,CTI,,,WORKING
62,62,,,Hanabishi Microwave oven,1,Appliance,,Conference Room,CTI,,,WORKING
63,63,,,Oven toaster,1,Appliance,,Conference Room,CTI,,,WORKING
64,64,,,Acer Laptop,1,Device,DOST PCIEERD - TBI 4.0 Year 1,Engr. Lovely Barbosa,CTI,,,WORKING
65,65,,,Acer Laptop - From Sir Rojay,1,Device,,Conference Room,CTI,,,DEFECTIVE
66,66,,,Acer Swift 5 Laptop,1,Device,CHED - IDIG,Ms. Jecamarie Pasay,CTI,,,WORKING
67,67,,,Acer Swift 5 Laptop,1,Device,CHED - IDIG,Ms. Neres Ann Repollo,CTI,,,WORKING
68,68,,,Acer 23  G23HL,1,Device,DOST PCIEERD - TBI 4.0 Year 1,Engr. Lovely Barbosa,CTI,,,WORKING
69,69,,,Acer 23  G23HL,1,Device,DOST PCIEERD - TBI 4.0 Year 1,Mr. Red Tarcelo,CTI,,,WORKING
70,70,,,AOC Monitor,1,Device,Ms. Khristia Tresvalles,,CTI,,,WORKING
71,71,,,AOC Monitor,2,Device,,Ms. Jecamarie V. Pasay,CTI,,,WORKING
72,72,,,Apple Magic Mouse,1,Device,,Conference Room,CTI,,,WORKING
73,73,,,Apple Magic Keyboard,1,Device,,Conference Room,CTI,,,WORKING
74,74,,,Asus Zenbook 13 UX334FLC-1782IT,1,Device,RDC Website and Walkthrough Development,Ms. Honey Lyn Tirador,CTI,,,WORKING
75,75,,,A4 Tech Wireless Mouse,3,Device,DOST PCIEERD - TBI 4.0 Year 2,Conference Room,CTI,,,WORKING
76,76,,,BatStateU Thin Powerbank,17,Device,,Vault,CTI,,,WORKING
77,77,,,Brother Fax,1,Device,,Storage Room,CTI,,,WORKING
78,78,,,Carbon Fiber Tripod Kit,1,Device,MDS,Conference Room,CTI,,,WORKING
79,79,,,Cardioid Condenser Microphone,3,Device,DOST PCIEERD - TBI 4.0 Year 2,Conference Room,CTI,,,WORKING
80,80,,,Creative Pen Tablet,1,Device,,Conference Room,CTI,,,WORKING
81,81,,,CTI USB,0,Device,,Vault,CTI,,,WORKING
82,82,,,Laptop Computer (Dell Latitude E6440 CTO),1,Device,STF,Storage Room,CTI,,,DEFECTIVE
83,83,,,Dell Monitor,1,Device,DOST PCIEERD - Establishment of BatStateU CTI,Co-Working Space,CTI,,,WORKING
84,84,,,Dell CPU Precision,1,Device,,Conference Room,CTI,,,DEFECTIVE
85,85,,,Desktop Computer,1,ICT,RTF,Ms. Jecamarie Pasay,CTI,https://drive.google.com/file/d/1A3fnF9aoCczffUGRzZM15Nf7cRt9xoEC/view?usp=sharing,https://drive.google.com/file/d/1SvHkIYKHCHXFmAD4FcYbzw2l2L6Cax8_/view?usp=sharing,WORKING
86,86,,,Desktop Computer,1,ICT,RTF,Ms. Honey Lyn Tirador,CTI,https://drive.google.com/file/d/1A3fnF9aoCczffUGRzZM15Nf7cRt9xoEC/view?usp=sharing,https://drive.google.com/file/d/1SvHkIYKHCHXFmAD4FcYbzw2l2L6Cax8_/view?usp=sharing,WORKING
87,87,,,Desktop Computer,1,ICT,RTF,Mr. Red Tarcelo,CTI,https://drive.google.com/file/d/1A3fnF9aoCczffUGRzZM15Nf7cRt9xoEC/view?usp=sharing,https://drive.google.com/file/d/1SvHkIYKHCHXFmAD4FcYbzw2l2L6Cax8_/view?usp=sharing,WORKING
88,88,,,Desktop Computer,1,ICT,RTF,SIMULATION LAB,CTI,https://drive.google.com/file/d/1A3fnF9aoCczffUGRzZM15Nf7cRt9xoEC/view?usp=sharing,https://drive.google.com/file/d/1SvHkIYKHCHXFmAD4FcYbzw2l2L6Cax8_/view?usp=sharing,WORKING
89,89,,,Desktop Computer,1,ICT,RTF,GIS,CTI,https://drive.google.com/file/d/1A3fnF9aoCczffUGRzZM15Nf7cRt9xoEC/view?usp=sharing,https://drive.google.com/file/d/1SvHkIYKHCHXFmAD4FcYbzw2l2L6Cax8_/view?usp=sharing,WORKING
90,90,,,Desktop Computer,1,ICT,RTF,CTI,CTI,https://drive.google.com/file/d/1A3fnF9aoCczffUGRzZM15Nf7cRt9xoEC/view?usp=sharing,https://drive.google.com/file/d/1SvHkIYKHCHXFmAD4FcYbzw2l2L6Cax8_/view?usp=sharing,WORKING
91,91,,,Desktop Computer,2,ICT,RTF,PEZABSUSEZI,CTI,https://drive.google.com/file/d/1A3fnF9aoCczffUGRzZM15Nf7cRt9xoEC/view?usp=sharing,https://drive.google.com/file/d/1SvHkIYKHCHXFmAD4FcYbzw2l2L6Cax8_/view?usp=sharing,WORKING
92,92,,,Desktop Computer,2,ICT,RTF,KIST,CTI,https://drive.google.com/file/d/1A3fnF9aoCczffUGRzZM15Nf7cRt9xoEC/view?usp=sharing,https://drive.google.com/file/d/1SvHkIYKHCHXFmAD4FcYbzw2l2L6Cax8_/view?usp=sharing,WORKING
93,93,,,Desktop Computer,6,ICT,RTF,GADC,CTI,https://drive.google.com/file/d/1A3fnF9aoCczffUGRzZM15Nf7cRt9xoEC/view?usp=sharing,https://drive.google.com/file/d/1SvHkIYKHCHXFmAD4FcYbzw2l2L6Cax8_/view?usp=sharing,WORKING
94,94,,,Desktop Computer,2,ICT,RTF,OVPRDES,CTI,https://drive.google.com/file/d/1A3fnF9aoCczffUGRzZM15Nf7cRt9xoEC/view?usp=sharing,https://drive.google.com/file/d/1SvHkIYKHCHXFmAD4FcYbzw2l2L6Cax8_/view?usp=sharing,WORKING
95,95,,,Desktop Computer,2,ICT,RTF,ESRC,CTI,https://drive.google.com/file/d/1A3fnF9aoCczffUGRzZM15Nf7cRt9xoEC/view?usp=sharing,https://drive.google.com/file/d/1SvHkIYKHCHXFmAD4FcYbzw2l2L6Cax8_/view?usp=sharing,WORKING
96,96,,,Desktop Podcasting Microphone,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Asst. Prof. John Richard Esguerra,CTI,,,WORKING
97,97,,,Desktop Podcasting Microphone,2,Device,DOST PCIEERD - TBI 4.0 Year 2,Conference Room,CTI,,,WORKING
98,98,,,Docuprint Multifunction Printer Brand: Fuji,1,Device,,Conference Room,CTI,,,WORKING
99,99,,,Epson L360,1,Device,,Mr. Red Tarcelo,CTI,,,WORKING
100,100,,,Epson L3250 Printer,1,Device,,Ms. Honey Lyn Tirador,CTI,,,WORKING
101,101,,,Epson EB-X31 Projector,4,Device,"with PCIEERD sticker, color white",Storage Room,CTI,,,WORKING
102,102,,,Extension Cords,9,Device,,Conference Room,CTI,,,WORKING
103,103,,,Globe Pocket Wifi - Black,2,Device,Engr. Lovely Barbosa,,CTI,,,WORKING
104,104,,,Globe Pocket Wifi - Black,2,Device,Ms. Honey Lyn A. Tirador,,CTI,,,WORKING
105,105,,,Globe Pocket Wifi - Black,2,Device,Conference Room,,CTI,,,WORKING
106,106,,,Globe Pocket Wifi - White,1,Device,,Conference Room,CTI,,,WORKING
107,107,,,HDMI Cords,1,Device,,Ms. Jecamarie Pasay,CTI,,,WORKING
108,108,,,HDMI Cords,1,Device,,Asst. Prof. John Richard Esguerra,CTI,,,WORKING
109,109,,,HDMI Cords,1,Device,,Khristia Tresvalles,CTI,,,WORKING
110,110,,,HDMI Cords,1,Device,,Ralph Aguilar,CTI,,,WORKING
111,111,,,HDMI Cords,1,Device,,Mr. Red Tarcelo,CTI,,,WORKING
112,112,,,HDMI Video Capture,2,Device,DOST PCIEERD - TBI 4.0 Year 2,Conference Room,CTI,,,WORKING
113,113,,,HP Deskjet Ink Advantage 3545,2,Device,,Storage Room,CTI,,,WORKING
114,114,,,Plotter HP Designjet T520,1,Device,,Storage Room,CTI,,,WORKING
115,115,,,HP Laserjet Printer,1,Device,,Storage Room,CTI,,,DEFECTIVE
116,116,,,HP Officejet Pro 8620,1,ICT,,Storage Room,CTI,,,WORKING
117,117,,,HP Officejet Pro 8620,1,ICT,,OVPRDES,CTI,,,DEFECTIVE
118,118,,,Keyboard,4,Device,DOST PCIEERD - TBI 4.0 Year 2,Conference Room,CTI,,,WORKING
119,119,,,Kingston USB,1,Device,,Engr. Lovely Barbosa,CTI,,,WORKING
120,120,,,Kingston USB,1,Device,,Mr. John Paul Heje,CTI,,,WORKING
121,121,,,Kingston USB,2,Device,,Vault,CTI,,,WORKING
122,122,,,Logitech Corded Mouse,8,Device,,Conference Room,CTI,,,WORKING
123,123,,,Matlab & Simulink,1,Device,,Vault,CTI,,,WORKING
124,124,,,Microphone,5,Device,DOST PCIEERD - TBI 4.0 Year 2,Conference Room,CTI,,,WORKING
125,125,,,Microphone,3,Device,DOST PCIEERD - TBI 4.0 Year 2,Storage Room,CTI,,,WORKING
126,126,,,Monitor Headphone,3,Device,,Storage Room,CTI,,,WORKING
127,127,,,Muratec Multi-Function System Photocopying Machine SN: DC226520009015,1,Device,DOST PCIEERD - Establishment of BatStateU CTI,Storage Room,CTI,,,WORKING
128,128,,,MySQL,1,Device,DOST PCIEERD - Establishment of BatStateU CTI,Software,CTI,,,WORKING
129,129,,,Nikon D5300 DSLR Camera with AF-P 18-55mm Lens,1,Device,,Conference Room,CTI,,,WORKING
130,130,,,Nikon D5300 DSLR Camera with AF-P 18-55mm Lens,1,Device,,SD Card c/o Emman of ROBIN borrowed for SCAN Program,CTI,,,WORKING
131,131,,,OTG Kingston,1,Device,,Vault,CTI,,,WORKING
132,132,,,OTG Kingston,1,Device,,Ms. Jecamarie V. Pasay,CTI,,,WORKING
133,133,,,Paper Shredder,1,Device,,Storage Room,CTI,,,DEFECTIVE
134,134,,,Panasonic DP-MB250 Fax Machine,1,Device,,Storage Room,CTI,,,DEFECTIVE
135,135,,,Panasonic LB330 XGA Projector,3,Device,"with PCIEERD sticker, color white",Storage Room,CTI,,,WORKING
136,136,,,Portable Trolley Speaker,2,Device,DOST PCIEERD - TBI 4.0 Year 2,Storage Room,CTI,,,WORKING
137,137,,,Power Bank - Xiaomi,1,Device,,Ms. Neres Repollo,CTI,,,WORKING
138,138,,,Power Bank - Xiaomi,1,Device,,Jecamarie Pasay,CTI,,,DEFECTIVE
139,139,,,Projector Optoma,1,Device,,Conference Room,CTI,,,WORKING
140,140,,,Red Spartan USB,3,Device,,Vault,CTI,,,WORKING
141,141,,,Ring Binder Machine,1,Device,,Conference Room,CTI,,,WORKING
142,142,,,Romoss Powerbank,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Engr. Lovely Barbosa,CTI,,,WORKING
143,143,,,Romoss Powerbank,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Ms. Honey Lyn Tirador,CTI,,,WORKING
144,144,,,Romoss Powerbank,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Ms. Jecamarie Pasay,CTI,,,WORKING
145,145,,,Romoss Powerbank,2,Device,DOST PCIEERD - TBI 4.0 Year 2,Conference Room,CTI,,,WORKING
146,146,,,Seagate External Hard Drive,1,ICT,DOST PCIEERD - Establishment of BatStateU CTI,M.s Bonzai,CTI,,https://drive.google.com/file/d/18HqwbjZzUuiuCyGPD2p0m-zu61281bhv/view?usp=sharing,WORKING
147,147,,,Seagate External Hard Drive,1,ICT,DOST PCIEERD - Establishment of BatStateU CTI,Mr. Apollo Malaluan,CTI,,https://drive.google.com/file/d/18HqwbjZzUuiuCyGPD2p0m-zu61281bhv/view?usp=sharing,WORKING
148,148,,,Seagate External Hard Drive,1,ICT,DOST PCIEERD - Establishment of BatStateU CTI,Ms. Honey Lyn Tirador,CTI,,https://drive.google.com/file/d/18HqwbjZzUuiuCyGPD2p0m-zu61281bhv/view?usp=sharing,WORKING
149,149,,,Seagate External Hard Drive,1,ICT,DOST PCIEERD - Establishment of BatStateU CTI,Engr. Neres Repollo,CTI,,https://drive.google.com/file/d/18HqwbjZzUuiuCyGPD2p0m-zu61281bhv/view?usp=sharing,WORKING
150,150,,,Smartphone/DSLR Teleprompter,2,Device,DOST PCIEERD - TBI 4.0 Year 2,Conference Room,CTI,,,WORKING
151,151,,,Smart Pocket Wifi,1,Device,,Engr. Lovely Barbosa,CTI,,,WORKING
152,152,,,Smart Pocket Wifi,2,Device,,Conference Room,CTI,,,WORKING
153,153,,,Sony Smart TV 65 ,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Co-Working Space,CTI,,,WORKING
154,154,,,Sony Smart TV 65 ,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Conference Room,CTI,,,WORKING
155,155,,,Stereo Microphone ,1,Device,,Vault,CTI,,,WORKING
156,156,,,Super Speed Portable Hard Drive,5,Device,,Vault,CTI,,,WORKING
157,157,,,Tablet,1,Device,,Ms. Honey Lyn Tirador,CTI,,,WORKING
158,158,,,Tablet with Stand,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Ms. Jecamarie V. Pasay,CTI,,,WORKING
159,159,,,Tablet with Stand,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Engr. Lovely Barbosa,CTI,,,WORKING
160,160,,,TV Stand ,1,Device,,Conference Room,CTI,,,WORKING
161,161,,,TV Stand ,1,Device,,Co-Working Space,CTI,,,WORKING
162,162,,,Transistor Megaphone,1,Device,STF,Conference Room,CTI,,,WORKING
163,163,,,Uninterrupted Power Supply (UPS),1,Device,,Mr. Red Tarcelo,CTI,,,WORKING
164,164,,,USB Card Reader,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Ms. Honey Lyn Tirador,CTI,,,WORKING
165,165,,,USB Card Reader,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Conference Room,CTI,,,WORKING
166,166,,,USB Hub Hi-Speed,3,Device,,Vault,CTI,,,WORKING
167,167,,,VGA Cords,16,Device,,Conference Room,CTI,,,WORKING
168,168,,,VGA Cords,1,Device,,Ms. Jecamarie Pasay,CTI,,,WORKING
169,169,,,Webcam,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Ms. Jecamarie V. Pasay,CTI,,,WORKING
170,170,,,Webcam,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Asst. Prof. John Richard Esguerra,CTI,,,WORKING
171,171,,,Webcam,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Ms. Lovely Barbosa,CTI,,,WORKING
172,172,,,Webcam,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Ms. Marielle Rosales,CTI,,,WORKING
173,173,,,Webcam,1,Device,DOST PCIEERD - TBI 4.0 Year 2,Engr. John Paul Heje,CTI,,,WORKING
174,174,,,Transcend External Hard Drive 1TB,1,Device,,Ms. Lovely Barbosa,CTI,,,WORKING
175,175,,,Transcend External Hard Drive 1TB,1,Device,,Ms. Laisa,CTI,,,WORKING
176,176,,,Transcend External Hard Drive 1TB,1,Device,,Fatima Rosales,CTI,,,WORKING
177,177,,,Transcend External Hard Drive 1TB,1,Device,,Ms. Honey Lyn Tirador,CTI,,,WORKING
178,178,,,Transcend External Hard Drive 1TB,1,Device,,Asst. Prof. John Richard Esguerra,CTI,,,WORKING
179,179,,,Transcend External Hard Drive 1TB,1,Device,,Engr. Neres Repollo,CTI,,,WORKING
180,180,,,Transcend External Hard Drive 1TB,1,Device,,Jecamarie Pasay,CTI,,,DEFECTIVE
181,181,,,Hanabishi Refrigerator ,1,Appliance,DOST PCIEERD - Establishment of BatStateU CTI,OVPRDES,CTI,,,WORKING
182,182,,,Bean bags - Basic Round,2,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,DTC,CTI,,,WORKING
183,183,,,Bean bags - Tear Drop,1,Furniture,DOST PCIEERD - Establishment of BatStateU CTI,DTC,CTI,,,WORKING
184,184,,,Conference Table,1,Furniture,RTF,STEER HUB,CTI,,,WORKING
185,185,,,Modular Sofa (Black),1,Furniture,CHED IDIG - TechHub,OVPRDES,CTI,,https://drive.google.com/file/d/1eKIXQkyK6kLgEPqkfkee8B0390kzbULW/view?usp=share_link,WORKING
186,186,,,Modular Sofa (Gray),1,Furniture,CHED IDIG - TechHub,OVPRDES,CTI,,https://drive.google.com/file/d/1PJTaZG7lNuawf4FOsWOcrRtiucpaB1i4/view?usp=share_link,WORKING
187,187,,,Office Chairs,14,Furniture,STF,STEER HUB,CTI,,,WORKING
188,188,,,Office Tables,4,Furniture,,Locators Space,CTI,,,WORKING
189,189,,,L-Shaped Office Workstation Tables,1,Furniture,RTF,KIST,CTI,,,WORKING
190,190,,,L-Shaped Office Workstation Tables,1,Furniture,RTF,PEZABSUSEZI,CTI,,,WORKING
191,191,,,Steel Shelving Rack,2,Furniture,,ESRC,CTI,,https://drive.google.com/file/d/11oEPW1YjYZKjy4fnxuScQt55fF8bfCsM/view?usp=sharing,WORKING
192,192,,,Sofa,1,Furniture,,OVPRDES,CTI,,,WORKING
193,193,,,Altium Development and Training License,1,Computer Software,,ESRC,CTI,,https://drive.google.com/file/d/1sdwponXue1A5pmFidPEZGa3F1Zsg5gwM/view?usp=share_link,WORKING
194,194,,,Red Hat License,1,Computer Software,DOST PCIEERD - Establishment of BatStateU CTI,ESRC,CTI,,https://drive.google.com/file/d/1QNta0nXcXAkRw4Jx5BdEGB1JLekM8rLp/view?usp=sharing,WORKING
195,195,,,All in one Desktop PC,1,ICT,STF,DTC,CTI,,,WORKING
196,196,,,Amplifier,1,ICT,,STEER HUB,CTI,,https://drive.google.com/file/d/16lnX6HkRb1GMFFGnOzvNoXs-Ru9WNCHb/view?usp=sharing,WORKING
197,197,,,"Connectivity: LCD display control, SD Card support, USB printing direct",0,ICT,DOST PCIEERD - Establishment of BatStateU CTI,ESRC,CTI,,https://drive.google.com/file/d/1DVoAv-hs2Bq5BJS5hwPdFd2YHd-OjdWU/view?usp=share_link,WORKING
198,198,,,Dell - XPS Silver,1,ICT,DOST PCIEERD - Establishment of BatStateU CTI,Engr. Albertson Amante,CTI,,https://drive.google.com/file/d/1VU-VkHf_9AKkwOZ46N0P1fTFdMunY8GQ/view?usp=share_link,WORKING
199,199,,,"Double Shielded SMB to BNC Male Coax, 50 ohm, 1m",1,ICT,MDS,ESRC,CTI,,,WORKING
200,200,,,LED TV Devant,1,ICT,,CTI,CTI,,https://drive.google.com/file/d/1O8pLZ3bNklsr18Bhxw49QyNslqAD8YHM/view?usp=share_link,WORKING
201,201,,,LED TV Devant,1,ICT,,GADC,CTI,,https://drive.google.com/file/d/1O8pLZ3bNklsr18Bhxw49QyNslqAD8YHM/view?usp=share_link,WORKING
